SCORE,CATEGORY
2,MEDICAL
2,MEDICAL
2,MEDICAL
6,MEDICAL
2,MEDICAL
2,MEDICAL
4,MEDICAL
3,MEDICAL
1,MEDICAL
6,MEDICAL
2,MEDICAL
1,MEDICAL
6,MEDICAL
2,MEDICAL
6,MEDICAL
5,MEDICAL
5,MEDICAL
4,MEDICAL
6,MEDICAL
2,MEDICAL
6,MEDICAL
5,MEDICAL
6,MEDICAL
3,MEDICAL
2,MEDICAL
6,MEDICAL
4,MEDICAL
2,MEDICAL
3,MEDICAL
6,MEDICAL
5,MEDICAL
5,MEDICAL
3,MEDICAL
2,MEDICAL
4,MEDICAL
6,MEDICAL
2,MEDICAL
2,MEDICAL
6,MEDICAL
6,MEDICAL
2,MEDICAL
3,MEDICAL
6,MEDICAL
6,MEDICAL
1,MEDICAL
4,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
4,MEDICAL
6,MEDICAL
1,MEDICAL
2,MEDICAL
6,MEDICAL
4,MEDICAL
2,MEDICAL
4,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
1,MEDICAL
4,MEDICAL
6,MEDICAL
4,MEDICAL
2,MEDICAL
2,MEDICAL
4,MEDICAL
3,MEDICAL
6,MEDICAL
3,MEDICAL
4,MEDICAL
2,MEDICAL
3,MEDICAL
3,MEDICAL
2,MEDICAL
2,MEDICAL
1,MEDICAL
4,MEDICAL
3,MEDICAL
2,MEDICAL
6,MEDICAL
3,MEDICAL
3,MEDICAL
2,MEDICAL
4,MEDICAL
5,MEDICAL
3,MEDICAL
6,MEDICAL
3,MEDICAL
1,MEDICAL
5,MEDICAL
6,MEDICAL
4,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
4,MEDICAL
6,MEDICAL
3,MEDICAL
4,MEDICAL
4,MEDICAL
2,MEDICAL
1,MEDICAL
3,MEDICAL
3,MEDICAL
2,MEDICAL
5,MEDICAL
5,MEDICAL
5,MEDICAL
3,MEDICAL
2,MEDICAL
4,MEDICAL
5,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
2,MEDICAL
6,MEDICAL
1,MEDICAL
2,MEDICAL
2,MEDICAL
4,MEDICAL
2,MEDICAL
1,MEDICAL
2,MEDICAL
3,MEDICAL
5,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
5,MEDICAL
1,MEDICAL
6,MEDICAL
6,MEDICAL
2,MEDICAL
2,MEDICAL
5,MEDICAL
3,MEDICAL
6,MEDICAL
2,MEDICAL
5,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
6,MEDICAL
5,MEDICAL
1,MEDICAL
2,MEDICAL
1,MEDICAL
1,MEDICAL
2,MEDICAL
3,MEDICAL
1,MEDICAL
2,MEDICAL
2,MEDICAL
3,MEDICAL
2,MEDICAL
2,MEDICAL
6,MEDICAL
4,MEDICAL
3,MEDICAL
2,MEDICAL
5,MEDICAL
