SCORE,CATEGORY
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
3,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
1,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
1,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
3,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
2,MAKE DIAGNOSES
1,MAKE DIAGNOSES
3,MAKE DIAGNOSES
2,MAKE DIAGNOSES
2,MAKE DIAGNOSES
4,MAKE DIAGNOSES
4,MAKE DIAGNOSES
