SCORE,CATEGORY,n,
1,PRODUCTIVITY,4008,
1,HARM,4344,
1,HAPPINESS,5352,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
1,HARM,4344,
